ACCE_ABSORB_COST	Κόστος συνδυασμού: %d
PREMIUM_PRIVATE_ITEM_ADD_LIMIT_WON	Τα αντικείμενα που προσφέρεις για πώληση δεν μπορούν να υπερβαίνουν την επιτρεπτή συνολική αξία.
PREMIUM_PRIVATE_ITEM_ADD_LIMIT_YANG	Τα αντικείμενα που προσφέρεις για πώληση δεν μπορούν να υπερβαίνουν την επιτρεπτή συνολική αξία.
PREMIUM_PRIVATE_MODIFY_LIMIT_WON	Αυτά είναι πάνω από 999 Won. Παράλαβε πρώτα τα χρήματα.
PREMIUM_PRIVATE_MODIFY_LIMIT_YANG	Αυτά είναι πάνω από 2 δισεκατομμύρια Yang. Παράλαβε πρώτα τα χρήματα.
PREMIUM_PRIVATE_SHOP_CANNOT_OPEN_MAP	Αυτό δεν μπορείς να το ανοίξεις σε αυτόν τον χάρτη.
PREMIUM_PRIVATE_SHOP_CLOSE_QUESTIONG	Θέλεις να κλείσεις το προσωπικό Κατάστημα;
PREMIUM_PRIVATE_SHOP_DURATION	Διάρκεια: %s
PREMIUM_PRIVATE_SHOP_MODIFY_STATE_OPEN_FAIL	Το κατάστημα δεν είναι ανοιχτό αυτήν τη στιγμή, επειδή γίνεται διαχείρισή του.
PREMIUM_PRIVATE_SHOP_NO_BUFF	Αυτό το κουμπί είναι για το προσωπικό προνομιούχο κατάστημα. Πρέπει να το αγοράσεις στο Shop για να το χρησιμοποιήσεις.
PREMIUM_PRIVATE_SHOP_PASSWORD_TITLE	Κωδικός Σύνδεσης
PREMIUM_PRIVATE_SHOP_POSITION	%s (%d,%d) - CH-%d
PREMIUM_PRIVATE_SHOP_USE_ITEM	Θέλεις να χρησιμοποιήσεις το αντικείμενο «προσωπικό προνομιούχο κατάστημα»;
PREMIUM_PRIVATE_TAX_ADJUSTMENT_LIMIT_WON	Δεν μπορείς να παραλάβεις τα χρήματα, επειδή έχεις πάνω από 999 Won.
PREMIUM_PRIVATE_TAX_ADJUSTMENT_LIMIT_YANG	Δεν μπορείς να παραλάβεις τα χρήματα, επειδή θα έχεις πάνω από 2 δισεκατομμύρια Yang.
PREMIUM_PRIVATE_TAX_ADJUSTMENT_NONE	Δεν υπάρχουν χρήματα για παραλαβή.
PREMIUM_PRIVATE_TAX_ADJUSTMENT_OVERFLOW_WON	Κατέθεσες περισσότερα Won από αυτά που μπορείς να σηκώσεις.
PREMIUM_PRIVATE_TAX_ADJUSTMENT_OVERFLOW_YANG	Κατέθεσες περισσότερα Yang από αυτά που μπορείς να σηκώσεις.
PREMIUM_PRIVATE_TAX_ADJUSTMENT_WRONG_INPUT	Δεν μπορείς να παραλάβεις τα χρήματα, επειδή έχεις πληκτρολογήσει πολύ μεγάλο ποσό.
PRIVATESHOPSEARCH_ABLITY_POTION	Πάχνη
PRIVATESHOPSEARCH_ACCESSORY_SOCKET	Κομψό μαντήλι
PRIVATESHOPSEARCH_ARMOR	Εξοπλισμός
PRIVATESHOPSEARCH_ARROW	Βέλη
PRIVATESHOPSEARCH_BELL	Καμπάνες
PRIVATESHOPSEARCH_BELT	Ζώνες
PRIVATESHOPSEARCH_BLEND	Φίλτρα
PRIVATESHOPSEARCH_BLOOD_PEARL	Ματωμένο Μαργαριτάρι
PRIVATESHOPSEARCH_BLUE_PEARL	Μπλε Μαργαριτάρι
PRIVATESHOPSEARCH_BODY	Πανοπλίες
PRIVATESHOPSEARCH_BOW	Τόξα
PRIVATESHOPSEARCH_BUYTIME	Θέλεις να αγοράσεις το επιλεγμένο αντικείμενο;
PRIVATESHOPSEARCH_CLAW	Νύχια
PRIVATESHOPSEARCH_CLEAR_POTION	Ελιξήρια
PRIVATESHOPSEARCH_COSTUME	Φορεσιές
PRIVATESHOPSEARCH_COSTUMEBODY	Φορεσιά
PRIVATESHOPSEARCH_COSTUMEHAIR	Κόμμωση
PRIVATESHOPSEARCH_COSTUME_ACCE	Κορδέλες Ώμων
PRIVATESHOPSEARCH_COSTUME_MOUNT	Ζώο ιππασίας
PRIVATESHOPSEARCH_CRYSTAL	Κρύσταλλος
PRIVATESHOPSEARCH_DAGGER	Στιλέτα
PRIVATESHOPSEARCH_DEAD	νεκρό
PRIVATESHOPSEARCH_DETACHMENT	Βιβλίο της Πέτρας
PRIVATESHOPSEARCH_DIAMOND	Διαμάντι
PRIVATESHOPSEARCH_DS	Αλχημεία Δρακόλιθων
PRIVATESHOPSEARCH_DS_BLACK	Όνυχας
PRIVATESHOPSEARCH_DS_BLUE	Ζαφείρι
PRIVATESHOPSEARCH_DS_GREEN	Νεφρίτης
PRIVATESHOPSEARCH_DS_RED	Ρουμπίνι
PRIVATESHOPSEARCH_DS_WHITE	Διαμάντι
PRIVATESHOPSEARCH_DS_YELLOW	Γρανάτης
PRIVATESHOPSEARCH_EAR	Σκουλαρίκια
PRIVATESHOPSEARCH_FAN	Βεντάλιες
PRIVATESHOPSEARCH_FISH	Ψάρια
PRIVATESHOPSEARCH_FOOTS	Παπούτσια
PRIVATESHOPSEARCH_GEM	Πετράδια
PRIVATESHOPSEARCH_GIFTBOX	Κουτί δώρου
PRIVATESHOPSEARCH_HEAD	Κράνη
PRIVATESHOPSEARCH_LIVE	ζωντανό
PRIVATESHOPSEARCH_MATERIAL	Υλικά
PRIVATESHOPSEARCH_METIN	Λίθοι Πνεύματος
PRIVATESHOPSEARCH_NECK	Περιδέραια
PRIVATESHOPSEARCH_NEED_ITEM_BUY	Δεν μπορείς να αγοράσεις αντικείμενα χωρίς την κατάλληλη Δέσμη.
PRIVATESHOPSEARCH_NEED_ITEM_FIND	Δεν μπορείς να ψάξεις αντικείμενα χωρίς την κατάλληλη Δέσμη.
PRIVATESHOPSEARCH_NODELAY_POTION	Αντικείμενα HP
PRIVATESHOPSEARCH_ORE	Μετάλλευμα
PRIVATESHOPSEARCH_PET	Σύστημα κατοικιδίων
PRIVATESHOPSEARCH_PETAGG	Αβγά κατοικιδίων
PRIVATESHOPSEARCH_PETSKILLBOOK	Βιβλία Κατοικιδίων
PRIVATESHOPSEARCH_PICK	Αξίνες
PRIVATESHOPSEARCH_POTION	Φίλτρα
PRIVATESHOPSEARCH_QUEST	Αποστολή
PRIVATESHOPSEARCH_QUIVER	Φαρέτρες
PRIVATESHOPSEARCH_RESOURCE	Βελτίωση αντικειμένων
PRIVATESHOPSEARCH_ROD	Ψάρεμα
PRIVATESHOPSEARCH_SELECTITEM	Επίλεξε ένα αντικείμενο.
PRIVATESHOPSEARCH_SHIELD	Ασπίδες
PRIVATESHOPSEARCH_SKILLBOOK	Βιβλία ικανοτήτων
PRIVATESHOPSEARCH_SKILLFORGET	Βιβλίο της Λήθης
PRIVATESHOPSEARCH_SPECIAL	’λλα
PRIVATESHOPSEARCH_STONE	Θραύσματα ενέργειας
PRIVATESHOPSEARCH_SWORD	Μονόχειρα σπαθιά
PRIVATESHOPSEARCH_TREASUREBOX	Σεντούκια
PRIVATESHOPSEARCH_TUNING	Πάπυροι
PRIVATESHOPSEARCH_TWOSWORD	Δίχειρα Σπαθιά
PRIVATESHOPSEARCH_UNIQUE	Μοναδικό
PRIVATESHOPSEARCH_USEITEM	Καταναλωτικά αγαθά
PRIVATESHOPSEARCH_USESPECIAL	’λλα
PRIVATESHOPSEARCH_WEAPON	Όπλα
PRIVATESHOPSEARCH_WHITE_PEARL	’σπρο Μαργαριτάρι
PRIVATESHOPSEARCH_WRIST	Βραχιόλια
PRIVATE_SHOP_CANNOT_SELL_ITEM	Δε μπορείς να πουλήσεις αυτό το Αντικείμενο σε Ιδιωτικό Κατάστημα.
PRIVATE_SHOP_CLOSE_QUESTION	Θέλεις να κλείσεις το Ιδιωτικό Κατάστημα;
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Όνομα ιδιωτικού Καταστήματος
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Τιμή
PRIVATE_SHOP_SEARCH_VNUM_ITEM_NOT_FOUND	Δεν βρέθηκαν αποτελέσματα.
PRIVATE_SHOP_SEARCH_VNUM_ITEM_NOT_SELECTED	Διάλεξε ένα αντικείμενο που θέλεις να αναζητήσεις.
PVP_LEVEL0	Ιπποτικός
PVP_LEVEL1	Ευγενής
PVP_LEVEL2	Καλός
PVP_LEVEL3	Φιλικός
PVP_LEVEL4	Ουδέτερος
PVP_LEVEL5	Επιθετικός
PVP_LEVEL6	Απατηλός
PVP_LEVEL7	Κακόβουλος
PVP_LEVEL8	Σκληρός
PVP_MODE_GUILD	Ενεργό PvP Συντεχνία
PVP_MODE_KILL	Ενεργό PvP Ελεύθερο
PVP_MODE_NORMAL	Ενεργό PvP Ειρήνη
PVP_MODE_PROTECT	Ενεργό PvP προστασία
PVP_MODE_REVENGE	Ενεργό PvP Εχθρικό
PVP_OPTION_KILL	Ελεύθερο
PVP_OPTION_NORMAL	Ειρήνη
PVP_OPTION_PROTECT	Προστασία
PVP_OPTION_REVENGE	Εχθρικό
PVP_TOURNAMENT_DO_NOT_AUTO	Δεν μπορείς να χρησιμοποιήσεις την αυτόματη επίθεση κατά τη διάρκεια του τουρνουά PvP.
QUEST_APPEND	Ανέλαβες νέα Αποστολή
QUEST_HOUR	Ώρες
QUEST_MIN	Λεπ.
QUEST_SEC	Δευτ.
QUEST_TIMEOVER	Λήξη Χρόνου
QUEST_UNLIMITED_TIME	Χωρίς χρονικό όριο
QUEST_ZEROSEC	0 Δευτ.
QUICKSLOT_REGISTER_DISABLE_ITEM	Το αντικείμενο δε μπορεί να προστεθεί στο Πεδίο Γρήγορης Πρόσβασης.
RAMADAN_EVENT_BREAD_MAX_COUNT	Έχεις ήδη τον μέγιστο αριθμό Ψωμιών.
RAMADAN_EVENT_FIG_MAX_COUNT	Έχεις ήδη τον μέγιστο αριθμό Φρούτων Ευλογίας.
RAMADAN_EVENT_GET_BREAD	Απέκτησες 1 Ψωμί.
RAMADAN_EVENT_GET_FIG	Απέκτησες 1 Φρούτο Ευλογίας.
RAMADAN_EVENT_NOT_ENOUGH_BREAD	Χρειάζεσαι ακόμη 10 Ψωμιά.
RANKING	Κατάταξη
RANKING_BOARD_MEMBER	Μέλη
RECEIVE_MESSAGE	Ο %s σου έστειλε μήνυμα.
REFINE_COST	Κόστος βελτίωσης: %d Yang
REFINE_DESTROY_WARNING	Το Αντικείμενο μπορεί να καταστραφεί κατά τον εξευγενισμό.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Θέλεις να αναβαθμίσεις αυτό το αντικείμενο;
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	Σε περίπτωση αποτυχία, το αντικείμενο θα καταστραφεί. Θέλεις να συνεχίσεις;
REFINE_DOWN_GRADE_WARNING	Το αντικείμενο μπορεί να υποβαθμιστεί κατά τον εξευγενισμό.
REFINE_DO_YOU_SEPARATE_METIN	Να αφαιρεθούν όλοι οι Λίθοι Πνεύματος;
REFINE_ELEMENT_CHANGE_TEXT	Ο %s έχει πλέον το στοιχείο %s!
REFINE_ELEMENT_DOWNGRADE_TEXT	Το επίπεδο του Στοιχειακού Μαγέματος μειώθηκε.
REFINE_ELEMENT_EXIST	Το αντικείμενο έχει ήδη ένα άλλο στοιχείο.
REFINE_ELEMENT_GRADE_MAX	Το ανώτατο επίπεδο του Στοιχειακού Μαγέματος έχει ήδη επιτευχθεί.
REFINE_ELEMENT_NOT_ENOUGHT_GRADE	Το Στοιχειακό Μάγεμα είναι διαθέσιμο μόνο για όπλα +7 ή παραπάνω.
REFINE_ELEMENT_NOT_ENOUGHT_YANG	Ανεπαρκή Yang.
REFINE_ELEMENT_NOT_EXSIT	Δεν μπορεί να χρησιμοποιηθεί με αυτό το αντικείμενο.
REFINE_ELEMENT_TEXT_DARK	Σκοτάδι +%d
REFINE_ELEMENT_TEXT_EARTH	Γη +%d
REFINE_ELEMENT_TEXT_ELECT	Αστραπή +%d
REFINE_ELEMENT_TEXT_FIRE	Φωτιά +%d
REFINE_ELEMENT_TEXT_ICE	Πάγος +%d
REFINE_ELEMENT_TEXT_WIND	’νεμος +%d
REFINE_ELEMENT_UPGRADE_FAIL_TEXT	Το Στοιχειακό Μάγεμα απέτυχε.
REFINE_ELEMENT_UPGRADE_SUCCESS_TEXT	Το Στοιχειακό Μάγεμα πέτυχε!
REFINE_FAILURE	Δεν λειτούργησε. Αποτύχαμε.
REFINE_FAILURE_CAN_NOT_ATTACH	Το %s δεν μπορεί να προστεθεί σε αυτό το αντικείμενο.
REFINE_FAILURE_DEL_ITEM	Ο εξευγενισμός απέτυχε. Το αντικείμενο καταστράφηκε.
REFINE_FAILURE_EQUIP_ITEM	Δεν μπορείς να βελτιώσεις αντικείμενα που φοράς.
REFINE_FAILURE_GRADE_DOWN	Ο εξευγενισμός απέτυχε. Ο βαθμός του αντικειμένου μειώθηκε.
REFINE_FAILURE_KEEP_GRADE	Ο εξευγενισμός απέτυχε.\nΕυτυχώς, το αντικείμενο διατηρήθηκε.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	Δε μπορεί να αφαιρεθεί η Λίθος Metin.
REFINE_FAILURE_NEED_BETTER_SCROLL	Χρειάζεσαι καλύτερο Πάπυρο Προόδου.
REFINE_FAILURE_NO_GOLD_SOCKET	Δεν υπάρχει Χρυσή υποδοχή για να προστεθεί το %s.
REFINE_FAILURE_NO_MORE_REINFORCE	Αυτό δεν μπορείς να το ενισχύσεις άλλο.
REFINE_FAILURE_NO_MORE_SOCKET	Δεν μπορείς να φτιάξεις άλλες υποδοχές.
REFINE_FAILURE_NO_SOCKET0	Δεν υπάρχει ελεύθερη υποδοχή για το %s.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	Δεν μπορείς να φτιάξεις υποδοχές σε αυτό το αντικείμενο.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	Το αντικείμενο δεν μπορεί να βελτιωθεί.
REFINE_QUESTION_CONFIRM	Θέλεις να συνεχίσεις;
REFINE_QUESTION_WARNING_DOWN_GRADE_AND_REFIX_REMOVE	Αν αποτύχει η αναβάθμιση, το επίπεδο θα μειωθεί κάτω από την ελάχιστη τιμή των επιδράσεων από σετ κι έτσι θα αφαιρεθεί η επίδραση από σετ.
REFINE_QUESTION_WARNING_PREFIX_REMOVE	Αν αναβαθμίσεις το αντικείμενο, θα αφαιρεθεί η επίδραση από σετ.
REFINE_SUCCESS	Η βελτίωση ήταν επιτυχής.
REFINE_SUCCESS_PROBALITY	Πιθανότητα βελτίωσης: %d%%
REFINE_WARNING2	Θέλεις να συνεχίσεις;
RESTART_HERE_BUTTON_TEXT_SUNGMAHEE_GATE	Τυχαία Αναγέννηση
RESTART_POPUP_GIVEUP_ELEMENTAL_DUNGEON	Πέθανες. \nΈλα πίσω από τον Στοιχειακό Κόσμο!
RESTART_POPUP_GIVEUP_MIST_ISLAND	Έπεσες στη Μάχη των πέντε Βωμών.\n Τώρα θα επιστρέψεις στο χωριό.
RESTART_POPUP_GIVEUP_OTHER_WORLD_DUNGEON	Το χαρακτήρας σου είναι νεκρός. \nΣύντομα θα τηλεμεταφερθείς στην πόλη.
RESTART_POPUP_GIVEUP_SUNGMAHEE_TOWER	Μια σκληρή ήττα! Ο δρόμος σου τελειώνει εδώ.
RESTART_POPUP_RESTART_HERE_SUNGMAHEE_GATE	Θα αναστηθείς σε μια τυχαία τοποθεσία σε αυτήν την περιοχή.
REVIVE_QUESTION	Θέλεις να αναστήσεις τον %s; Αριθμός Πρισμάτων Αφύπνισης: %d τεμάχια
REVIVE_SELF_QUESTION	Θέλεις να κάνεις την ανάνηψη; Αριθμός Πρισμάτων Αφύπνισης: %d τεμάχια
ROULETTE_REWARD_TEXT	Απόκτηση Αντικειμένου
SAFEBOX_ERROR	Εισήγαγες λάθος συνθηματικό.
SAFEBOX_NEED_CHANGE_PASSWORD	Ο κωδικός σου έληξε.\nΔιάλεξε έναν καινούριο.
SAFEBOX_SELL_DISABLE_SAFEITEM	Δεν μπορείς να πουλήσεις αποθηκευμένα αντικείμενα.
SAFEBOX_UNAVILABLE_PASSWORD_01	Δεν μπορείς να χρησιμοποιήσεις αυτόν τον κωδικό.
SAFEBOX_UNAVILABLE_PASSWORD_02	Ο κωδικός σου πρέπει να αποτελείται από τουλάχιστον %d χαρακτήρες.
SAFEBOX_UNAVILABLE_PASSWORD_03	Εισήγαγες τον υπάρχοντα κωδικό σου. Παρακαλούμε επίλεξε έναν νέο.
SAFEBOX_UNAVILABLE_PASSWORD_04	Ο κωδικός σου δεν μπορεί να περιέχει %d ίδιους αριθμούς ή αριθμούς σε ακολουθία.
SAFEBOX_UNAVILABLE_PASSWORD_05	Δεν επιτρέπονται ειδικοί χαρακτήρες. Επιτρεπόμενοι χαρακτήρες: a-z, A-Z, 0-9
SAFEBOX_WRONG_PASSWORD	Τα συνθηματικά πρέπει να είναι ακριβώς τα ίδια.
SCREENSHOT_SAVE1	αποθηκεύτηκε στο
SCREENSHOT_SAVE2	Φάκελος Στιγμιοτύπων
SCREENSHOT_SAVE_FAILURE	Απέτυχε η αποθήκευση στιγμιοτύπων.
SECOND	Δευτ.
SECOND_CONFIRM_PET_FEED_QUESTION_1	Το Αντικείμενο έχει %d ή περισσότερα Μπόνους.
SECOND_CONFIRM_PET_FEED_QUESTION_2	Σίγουρα θέλεις να ταΐσεις το κατοικίδιό σου με αυτό;
SECOND_CONFIRM_SELL_ITEM_QUESTION_1	Το Αντικείμενο έχει %d ή περισσότερα Μπόνους.
SECOND_CONFIRM_SELL_ITEM_QUESTION_2	Σίγουρα θέλεις να το πουλήσεις;
SECRET_DUNGEON_CREATE_REWARD_IMPOSSIBLE	Θέλεις να μπεις στον Ναό Αίνιγμα;\nΔεν μπορείς πλέον να αποκτήσεις καθημερινή ανταμοιβή (υπόλοιπος χρόνος: %s)
SECRET_DUNGEON_CREATE_REWARD_POSSIBLE	Θέλεις να μπεις στον Ναό Αίνιγμα;\nΜπορείς να αποκτήσεις καθημερινή ανταμοιβή.
SECRET_DUNGEON_ENTER_DUNGEON_RE_REQUEST	Πρέπει να αφήσεις την ομάδα αν δεν μπεις.\nΘέλεις να μπεις;
SECRET_DUNGEON_ENTER_LIMIT_TIME	Υπολοιπόμενος χρόνος για την είσοδο: %d δευτερόλεπτα
SECRET_DUNGEON_ENTER_MEMBER_REWARD_IMPOSSIBLE	Δημιουργήθηκε ένα αντίγραφο του Ναού Αίνιγμα. Θέλεις να μπεις;\nΔεν μπορείς πλέον να αποκτήσεις καθημερινή ανταμοιβή (υπόλοιπος χρόνος: %s)
SECRET_DUNGEON_ENTER_MEMBER_REWARD_POSSIBLE	Δημιουργήθηκε ένα αντίγραφο του Ναού Αίνιγμα. Θέλεις να μπεις;\nΜπορείς να αποκτήσεις καθημερινή ανταμοιβή.
SECRET_DUNGEON_ENTER_QUESTION_ANSWER_TIMEOVER	Αρνήθηκες την είσοδο.
SECRET_DUNGEON_ENTER_QUESTION_NO	Όχι
SECRET_DUNGEON_ENTER_QUESTION_YES	Ναι
SELECT_ATTR_NOTICE	Δεν μπορείς να ανοίξεις ένα ιδιωτικό κατάστημα, όσο χρησιμοποιείς το αντικείμενο Μάγεμα Αντικειμένου+.
SELECT_ATTR_NOT_OPEN	Δεν μπορείς να χρησιμοποιήσεις το αντικείμενο Μάγεμα Αντικειμένου+, όσο έχεις ανοιχτό ένα ιδιωτικό κατάστημα.
SELECT_ATTR_NOT_SELECT	Αποφάσισε αν θέλεις να κρατήσεις ή να ανταλλάξεις τα μπόνους σου.
SELECT_CAN_NOT_DELETE	Δεν μπορείς να διαγράψεις τον χαρακτήρα.
SELECT_CAN_NOT_DELETE_ATTR67	Δεν μπορείς να διαγράψεις τον χαρακτήρα σου\n όσο γίνεται προσθήκη ενός μπόνους.
SELECT_CAN_NOT_DELETE_GUILD_MEMBER	Δεν μπορείς να διαγράψεις τον χαρακτήρα σου όσο είναι μέλος μιας συντεχνίας.
SELECT_CAN_NOT_DELETE_HAVE_SEALED_ITEM	Δεν μπορείς να διαγράψεις τον χαρακτήρα σου, επειδή έχει ψυσικά δεμένα αντικείμενα.
SELECT_CAN_NOT_DELETE_LAST_CHAR_SAFEBOX	Δεν μπορείς να διαγράψεις τον μοναδικό χαρακτήρα σου, επειδή έχεις ακόμη αντικείμενα στην Αποθήκη σου.
SELECT_CAN_NOT_DELETE_LIMITE_LEVEL	Μπορείς να διαγράψεις τον χαρακτήρα σου το πολύ ως το επίπεδο 119.
