ACCE_ABSORB_COST	Coûts de combi : %d
PRIVATESHOPSEARCH_ORE	Minerai
PRIVATESHOPSEARCH_PET	Système de familier
PRIVATESHOPSEARCH_PETAGG	Œufs de familiers
PRIVATESHOPSEARCH_PETSKILLBOOK	Livres de compétence de familier
PRIVATESHOPSEARCH_PICK	Pioches
PRIVATESHOPSEARCH_POTION	Potions
PRIVATESHOPSEARCH_QUEST	Quête
PRIVATESHOPSEARCH_QUIVER	Carquois de flèches
PRIVATESHOPSEARCH_RESOURCE	Amélioration d'objet
PRIVATESHOPSEARCH_ROD	Pêche
PRIVATESHOPSEARCH_SELECTITEM	Choisissez un objet.
PRIVATESHOPSEARCH_SHIELD	Boucliers
PRIVATESHOPSEARCH_SKILLBOOK	Livres de compétence
PRIVATESHOPSEARCH_SKILLFORGET	Livre de l'oubli
PRIVATESHOPSEARCH_SPECIAL	Divers
PRIVATESHOPSEARCH_STONE	Fragment d'énergie
PRIVATESHOPSEARCH_SWORD	Épées à une main
PRIVATESHOPSEARCH_TREASUREBOX	Coffres
PRIVATESHOPSEARCH_TUNING	Parchemins
PRIVATESHOPSEARCH_TWOSWORD	Épées à deux mains
PRIVATESHOPSEARCH_UNIQUE	unique
PRIVATESHOPSEARCH_USEITEM	Objets consommables
PRIVATESHOPSEARCH_USESPECIAL	Divers
PRIVATESHOPSEARCH_WEAPON	Armes
PRIVATESHOPSEARCH_WHITE_PEARL	Perle blanche
PRIVATESHOPSEARCH_WRIST	Bracelets
PRIVATE_SHOP_CANNOT_SELL_ITEM	Vous ne pouvez pas vendre cet objet dans un magasin.
PRIVATE_SHOP_CLOSE_QUESTION	Souhaitez-vous fermer le magasin?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Nom du magasin.
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Prix
PRIVATE_SHOP_SEARCH_VNUM_ITEM_NOT_FOUND	Aucun résultat.
PRIVATE_SHOP_SEARCH_VNUM_ITEM_NOT_SELECTED	Choisissez un objet pour effectuer la recherche.
PVP_LEVEL0	Chevalier
PVP_LEVEL1	Noble
PVP_LEVEL2	Bon
PVP_LEVEL3	Amical
PVP_LEVEL4	Neutre
PVP_LEVEL5	Agressif
PVP_LEVEL6	Retord
PVP_LEVEL7	Malicieux
PVP_LEVEL8	Cruel
PVP_MODE_GUILD	Mode PvP - Guilde activé
PVP_MODE_KILL	PvP - Libre activé
PVP_MODE_NORMAL	PvP - Paix activée.
PVP_MODE_PROTECT	Protection PvP activée.
PVP_MODE_REVENGE	PvP - Hostile activé.
PVP_OPTION_KILL	Libre
PVP_OPTION_NORMAL	Paix
PVP_OPTION_PROTECT	Protection
PVP_OPTION_REVENGE	Hostile
PVP_TOURNAMENT_DO_NOT_AUTO	Vous ne pouvez pas effectuer d'attaques automatiques pendant le tournoi JcJ.
QUEST_APPEND	Nouvelle mission reçue.
QUEST_HOUR	Heures
QUEST_MIN	Min.
QUEST_SEC	Sec.
QUEST_TIMEOVER	Temps écoulé.
QUEST_UNLIMITED_TIME	Pas de limite de temps
QUEST_ZEROSEC	0 Sec.
QUICKSLOT_REGISTER_DISABLE_ITEM	Cette objet ne peut pas être ajouté au champ d'accès rapide
RAMADAN_EVENT_BREAD_MAX_COUNT	Vous possédez déjà le nombre maximal de pains.
RAMADAN_EVENT_FIG_MAX_COUNT	Vous possédez déjà le nombre maximal de fruits de la bénédiction.
RAMADAN_EVENT_GET_BREAD	Vous avez reçu 1 pain.
RAMADAN_EVENT_GET_FIG	Vous avez reçu 1 fruit de la bénédiction.
RAMADAN_EVENT_NOT_ENOUGH_BREAD	Il vous faut encore 10 pains.
RANKING	Rang
RANKING_BOARD_MEMBER	Membres
RECEIVE_MESSAGE	%s vous envoie un message.
REFINE_COST	Coût de la progression : %d Yangs
REFINE_DESTROY_WARNING	Cet objet peut être détruit durant la tentative de raffinage.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Souhaitez-vous vraiment améliorer l'objet ?
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	L'objet sera détruit en cas d'échec. Voulez-vous continuer ?
REFINE_DOWN_GRADE_WARNING	Le raffinage de l'objet peut lui faire perdre en niveau.
REFINE_DO_YOU_SEPARATE_METIN	Retirer toutes les pierres d'esprit présentes ?
REFINE_ELEMENT_CHANGE_TEXT	%s possède désormais l'élément %s !
REFINE_ELEMENT_DOWNGRADE_TEXT	Le niveau d'enchantement élémentaire a été réduit.
REFINE_ELEMENT_EXIST	L'objet dispose déjà d'un autre élément.
REFINE_ELEMENT_GRADE_MAX	Le niveau maximum de l'enchantement élément a déjà été atteint.
REFINE_ELEMENT_NOT_ENOUGHT_GRADE	L'enchantement élémentaire est uniquement disponible pour les armes +7 ou plus.
REFINE_ELEMENT_NOT_ENOUGHT_YANG	Pas assez de Yangs.
REFINE_ELEMENT_NOT_EXSIT	Cet objet ne peut pas être utilisé.
REFINE_ELEMENT_TEXT_DARK	Obscurité +%d
REFINE_ELEMENT_TEXT_EARTH	Terre +%d
REFINE_ELEMENT_TEXT_ELECT	Foudre +%d
REFINE_ELEMENT_TEXT_FIRE	Feu +%d
REFINE_ELEMENT_TEXT_ICE	Glace +%d
REFINE_ELEMENT_TEXT_WIND	Vent +%d
REFINE_ELEMENT_UPGRADE_FAIL_TEXT	L'enchantement élémentaire a échoué !
REFINE_ELEMENT_UPGRADE_SUCCESS_TEXT	L'enchantement élémentaire a réussi !
REFINE_FAILURE	Ça n'a pas fonctionné ! Nous avons échoué.
REFINE_FAILURE_CAN_NOT_ATTACH	%s ne peut pas être mis sur l'objet.
REFINE_FAILURE_DEL_ITEM	Le raffinage a échoué. L'objet a été détruit.
REFINE_FAILURE_EQUIP_ITEM	Vous ne pouvez pas améliorer un objet dont vous êtes équipé.
REFINE_FAILURE_GRADE_DOWN	Le raffinage a échoué. Le rang de l'objet a été rétrogradé.
REFINE_FAILURE_KEEP_GRADE	Le raffinage a échoué.\nPar chance, votre objet sera conservé.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	Aucune pierre d'esprit ne peut être retirée.
REFINE_FAILURE_NEED_BETTER_SCROLL	Vous devez avoir un personnage plus avancé.
REFINE_FAILURE_NO_GOLD_SOCKET	Il n'y a pas d'emplacement d'or pour l'ajouter %s .
REFINE_FAILURE_NO_MORE_REINFORCE	Vous ne pouvez plus renforcer cela.
REFINE_FAILURE_NO_MORE_SOCKET	Vous ne pouvez pas ajouter d'emplacement supplémentaire.
REFINE_FAILURE_NO_SOCKET0	Il n'y a pas d'emplacement libre pour la %s.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	Vous ne pouvez ajouter aucun emplacement sur cet objet.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	Cet objet ne peut pas être amélioré.
REFINE_QUESTION_CONFIRM	Voulez-vous continuer ?
REFINE_QUESTION_WARNING_DOWN_GRADE_AND_REFIX_REMOVE	Si l'amélioration échoue, le niveau diminue en-dessous de la valeur minimum de l'effet de lot et l'effet de lot est supprimé.
REFINE_QUESTION_WARNING_PREFIX_REMOVE	En améliorant un objet, l'effet de lot est supprimé.
REFINE_SUCCESS	L'amélioration de l'objet s'est déroulé avec succès.
REFINE_SUCCESS_PROBALITY	Chance d'amélioration %d%%
REFINE_WARNING2	Souhaitez-vous continuer ?
RESTART_HERE_BUTTON_TEXT_SUNGMAHEE_GATE	Résurrection aléatoire
RESTART_POPUP_GIVEUP_ELEMENTAL_DUNGEON	Vous êtes mort. \nRetournez dans le Monde élémentaire !
RESTART_POPUP_GIVEUP_MIST_ISLAND	Vous êtes tombé au combat au cours de la Bataille des cinq sanctuaires.\n Vous retournez désormais au village.
RESTART_POPUP_GIVEUP_OTHER_WORLD_DUNGEON	Votre personnage a été éliminé. \nVous serez bientôt téléporté en ville.
RESTART_POPUP_GIVEUP_SUNGMAHEE_TOWER	Quelle défaite amère ! Ton chemin s'arrête ici.
RESTART_POPUP_RESTART_HERE_SUNGMAHEE_GATE	Vous ressuscitez à un endroit aléatoire de cette zone.
REVIVE_QUESTION	Souhaitez-vous ressusciter %s ? Nombre de prismes du réveil : %d
REVIVE_SELF_QUESTION	Souhaitez-vous exécuter la ressuscitation ? Nombre de prismes du réveil : %d
ROULETTE_REWARD_TEXT	Obtenir l'objet
SAFEBOX_ERROR	Vous avez entré un mauvais mot de passe.
SAFEBOX_NEED_CHANGE_PASSWORD	Votre mot de passe a expiré.\nChoisissez-en un nouveau.
SAFEBOX_SELL_DISABLE_SAFEITEM	Vous ne pouvez vendre aucun des objets sauvegardés.
SAFEBOX_UNAVILABLE_PASSWORD_01	Vous ne pouvez pas utiliser ce mot de passe.
SAFEBOX_UNAVILABLE_PASSWORD_02	Votre mot de passe doit comporter au moins %d caractères.
SAFEBOX_UNAVILABLE_PASSWORD_03	Vous avez entré votre mot de passe actuel. Merci d'en choisir un nouveau.
SAFEBOX_UNAVILABLE_PASSWORD_04	Votre mot de passe ne doit pas contenir %d chiffres semblables ou qui se suivent.
SAFEBOX_UNAVILABLE_PASSWORD_05	Les caractères spéciaux ne sont pas autorisés. Sont autorisés : a-z, A-Z, 0-9.
SAFEBOX_WRONG_PASSWORD	Les mots de passe doivent être identiques.
SCREENSHOT_SAVE1	est sauvegardé.
SCREENSHOT_SAVE2	Fichier de capture d'écran
SCREENSHOT_SAVE_FAILURE	La capture de l'écran a échoué.
SECOND	Sec
SECOND_CONFIRM_PET_FEED_QUESTION_1	Votre objet possède au moins %d bonus.
SECOND_CONFIRM_PET_FEED_QUESTION_2	Voulez-vous vraiment le donner en pâture à votre familier ?
SECOND_CONFIRM_SELL_ITEM_QUESTION_1	Votre objet possède au moins %d bonus.
SECOND_CONFIRM_SELL_ITEM_QUESTION_2	Voulez-vous vraiment le vendre ?
SECRET_DUNGEON_CREATE_REWARD_IMPOSSIBLE	Voulez-vous entrer dans le Temple Énigma ?\nVous ne pouvez plus recevoir de récompense journalière (temps restant : %s).
SECRET_DUNGEON_CREATE_REWARD_POSSIBLE	Voulez-vous entrer dans le Temple Énigma ?\nVous pouvez recevoir une récompense journalière.
SECRET_DUNGEON_ENTER_DUNGEON_RE_REQUEST	Si vous n'entrez pas, vous devez quitter le groupe.\nVoulez-vous entrer ?
SECRET_DUNGEON_ENTER_LIMIT_TIME	Temps restant avant l'entrée : %d secondes
SECRET_DUNGEON_ENTER_MEMBER_REWARD_IMPOSSIBLE	Une instance du Temple Énigma a été générée. Voulez-vous y entrer ?\nVous ne pouvez plus recevoir de récompense journalière (temps restant : %s).
SECRET_DUNGEON_ENTER_MEMBER_REWARD_POSSIBLE	Une instance du Temple Énigma a été générée. Voulez-vous entrer ?\nVous pouvez recevoir une récompense journalière.
SECRET_DUNGEON_ENTER_QUESTION_ANSWER_TIMEOVER	Vous avez refusé d'entrer.
SECRET_DUNGEON_ENTER_QUESTION_NO	Non
SECRET_DUNGEON_ENTER_QUESTION_YES	Oui
SELECT_ATTR_NOTICE	Vous ne pouvez pas ouvrir de magasin privé pendant que vous utilisez l'Objet enchanté+.
SELECT_ATTR_NOT_OPEN	Vous ne pouvez pas utiliser l'Objet enchanté+ quand votre magasin privé est ouvert.
SELECT_ATTR_NOT_SELECT	Choisissez de garder les bonus ou de les échanger.
SELECT_CAN_NOT_DELETE	Vous ne pouvez pas effacer ce personnage
SELECT_CAN_NOT_DELETE_ATTR67	Vous ne pouvez pas supprimer votre personnage\n pendant qu'un bonus est ajouté.
SELECT_CAN_NOT_DELETE_GUILD_MEMBER	Vous ne pouvez pas supprimer votre personnage tant qu'il est membre d'une guilde.
SELECT_CAN_NOT_DELETE_HAVE_SEALED_ITEM	Vous ne pouvez pas supprimer votre personnage tant qu'il possède des objets liés à l'âme.
SELECT_CAN_NOT_DELETE_LAST_CHAR_SAFEBOX	Vous ne pouvez pas supprimer votre unique personnage tant qu'il y a des objets dans votre entrepôt.
SELECT_CAN_NOT_DELETE_LIMITE_LEVEL	Vous ne pouvez plus supprimer votre personnage s'il a dépassé le niveau 119.
SELECT_CAN_NOT_DELETE_MARRIAGE	Vous ne pouvez pas supprimer de personnage marié.
SELECT_CAN_NOT_DELETE_PREMIUM_PRIVATE_SHOP	Il vous reste des marchandises dans votre magasin privé.
SELECT_CAN_NOT_DELETE_PRIVATE_CODE_ERROR	Le code de suppression n'est pas correct.
SELECT_CAN_NOT_DELETE_REMAIN_TIME	Vous ne pouvez pas supprimer ce personnage immédiatement après sa création. Temps d'attente : %s
SELECT_CHANGED_NAME	Vous avez changé le nom du personnage
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	Ce nom de personnage existe déjà.
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Réessayer
SELECT_CHANGE_FAILURE_STRANGE_NAME	Le nom du personnage est erroné.
SELECT_CHANGE_NAME_TITLE	Changer le nom du personnage
SELECT_DELEING	La suppression est en cours...
SELECT_DELETED	Suppression réussie
SELECT_DO_YOU_DELETE_REALLY	Souhaitez-vous continuer.
SELECT_EMPTY_SLOT	Ce champ est vide.
SELECT_GM_NAME	GM
SELECT_INPUT_CHANGING_NAME	Entrez un nouveau nom de personnage
SELECT_NOT_JOIN_GUILD	Aucune guilde
SERVER_NOTIFY_CLOSED	Serveur fermé : seuls les comptes qui ont été créés avant la fermeture ont un droit d'accès.
SERVER_STATUS_CLOSE	FERMÉ
SERVER_STATUS_NEW	NOUVEAU
SERVER_STATUS_SPECIAL	SPÉCIAL
SERVER_STATUS_STANDBY	FERMÉ
SET_ITEM_CLEAR_CONFIRM_QUESTION	Voulez-vous supprimer l'effet de lot ?
SET_ITEM_CLEAR_CONFIRM_QUESTION_1	Cet objet dispose %d bonus/pierres d'esprit.
SET_ITEM_CLEAR_CONFIRM_QUESTION_2	Êtes-vous sûr ?
SET_ITEM_DO_NOT_EQUIP_ITEM	Vous ne pouvez conférer d'effet de lot aux objets équipés.
SET_ITEM_DO_NOT_SEAL_ITEM	Vous pouvez faire cela avec un objet lié à l'âme.
SHOP_BUY_INFO	Achetez un objet en le choisissant dans la fenêtre d'une échoppe.
SHOP_CANNOT_SELL_EQUIPMENT	Vous ne pouvez pas vendre d'objet équipé.
SHOP_CANNOT_SELL_ITEM	Cet objet ne peut pas être vendu.
SHOP_ERROR_UNKNOWN	Erreur de Magasin inconnue : %s
SHOP_EXCEED_LIMIT_TODAY	Vous avez dépassé votre limite quotidienne d'utilisation de points.
SHOP_INVALID_POS	Cet objet ne peut pas être utilisé.
SHOP_INVENTORY_FULL	Il n'y a pas assez de place dans l'inventaire.
SHOP_LIMITED_DATA_LOADING	Les données sont en cours de chargement. Réessayez plus tard.
SHOP_LIMITED_ITEM_REMAIN_COUNT	Objets restants : %d
SHOP_LIMITED_PURCHASE_OVER	Épuisé
SHOP_LIMIT_TODAY	Limite quotidienne : %d / %d
SHOP_MY_BATTLE_POINT	Points de combat : %d
SHOP_MY_MEDAL_OF_HONOR	Médaille de bravoure : %d
SHOP_NOT_ENOUGH_10TH_COIN	Vous n'avez pas assez de pièces d'anniversaire !
SHOP_NOT_ENOUGH_BATTLE_POINT	Vous n'avez pas suffisamment de Points de combat.
SHOP_NOT_ENOUGH_BNW	Vous n'avez pas assez de pièces de devin.
SHOP_NOT_ENOUGH_GUILD_LEVEL	Le niveau de guilde est trop faible.
SHOP_NOT_ENOUGH_MEDAL_OF_HONOR	Pas assez de médaille de bravoure.
SHOP_NOT_ENOUGH_MONEY	Pas assez de Wons ou de Yangs.
SHOP_NOT_ENOUGH_MONEY_EX	Vous n'avez pas suffisamment de Yangs.
SHOP_SELL_INFO	Sélectionnez l'objet à vendre dans la fenêtre d'inventaire.
SHOP_SOLDOUT	Épuisé
SHOT_ERROR_UNKNOWN	Erreur inconnue lors de l'attaque à distance : %s
SKILL_BLEEDING	Saignement
SKILL_BOHO	Détourné
SKILL_BUDONG	n'est plus utilisé.
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	Vous avez besoin d'EXP pour apprendre cette compétence.
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	Vous avez besoin d'un Manuel pour apprendre cette compétence.
SKILL_CHEONGEUN	Corps puissant
SKILL_CRITICAL	Coup critique
SKILL_ENCHANT_POISON	Poison appliqué.
SKILL_EUNHYEONG	Camouflage
SKILL_FAINT	Étourdissement
SKILL_FIND_TRAP	Chercher les pièges
SKILL_FIRE	Feu permanent
SKILL_FISHMIND	Boule piscicomancienne active
SKILL_GAMJI	Capturer
SKILL_GEOMGYEONG	Aura de l'épée
SKILL_GEONGON	Plus utilisé.
SKILL_GICHEON	Aide du Dragon
SKILL_GIGONG	Rotation du Chi
SKILL_GONGPO	Peur
SKILL_GRADE_NAME_GRAND_MASTER	%s Grand Maître
SKILL_GRADE_NAME_MASTER	%s Maître
SKILL_GRADE_NAME_PERFECT_MASTER	%s Maître parfait
SKILL_GROUP_ASSASSIN_1	Lame
SKILL_GROUP_ASSASSIN_2	Arc
SKILL_GROUP_HORSE	Equitation
SKILL_GROUP_SHAMAN_1	Dragon
SKILL_GROUP_SHAMAN_2	Soin
SKILL_GROUP_SURA_1	Arme
SKILL_GROUP_SURA_2	Magique
SKILL_GROUP_WARRIOR_1	Corps
SKILL_GROUP_WARRIOR_2	Mental
SKILL_GWIGEOM	Lame enchantée
SKILL_GYEONGGONG	Pas de plume
SKILL_HEUKSIN	Protection des ténèbres
SKILL_HOSIN	Bénédiction
SKILL_HWAYEOM	SKILL_HWAYEON Plus utilisé.
SKILL_HYEOLMA	SKILL_HYEOLMA plus utilisé.
SKILL_INC_ATKSPD	Vitesse d'attaque augmentée
SKILL_INC_MOVSPD	Vitesse de déplacement augmentée
SKILL_INMA	SKILL_INMA Plus utilisé.
SKILL_JEOJU	Malédiction
SKILL_JEONGEOP	Soin
SKILL_JEONGWI	Berserk
SKILL_JEONSINBANGEO	Défense totale
SKILL_JEONSINGONGGYEOK	Attaque totale
SKILL_JEUNGCHE	SKILL_JEUNGCHE Plus utilisé.
SKILL_JEUNGHON	SKILL_JEUNGHON Plus utilisé.
SKILL_JEUNGRYEOK	Attaque +
SKILL_JEUNGSOK	Vitesse +
SKILL_JIGAM	SKILL_JIGAM Plus utilisé.
SKILL_JIPJUNG	SKILL_JIPJUNG Plus utilisé.
SKILL_JUMAGAP	Armure enchantée
SKILL_JUMAGEOM	SKILL_JUMAGEOM Plus utilisé.
SKILL_KWAEGEOM	SKILL_KWAEGEOM Plus utilisé.
SKILL_KWAESOK	Vitesse
SKILL_LEGBOUND	SKILL_LEGBOUND Plus utilisé.
SKILL_MUSA	SKILL_MUSA Plus utilisé.
SKILL_MUYEONG	Fantôme de la Flamme
SKILL_NEED_EMPTY_BOTTLE	Je n'ai pas de bouteille vide.
SKILL_NEED_POISON_BOTTLE	Je n'ai pas de bouteille vide
SKILL_ONLY_FOR_GUILD_WAR	Vous ne pouvez utiliser cette compétence que durant une guerre de Guildes
SKILL_PABEOP	Neutraliser un sort
SKILL_POWERFUL_STRIKE	Attaque étourdissante
SKILL_SEOMGWANG	Bombe de lumière
SKILL_SINCHAK	SKILL_SINCHAK Plus utilisé.
SKILL_SLEEP	Dormir
SKILL_SLOW	Ralentissement
SKILL_STUN	Étourdir
SKILL_SUHO	Garde
SKILL_SUMMON_DESCRIPTION	Chance d'Invocation: %d%%
SKILL_TOOLTIP_INT	Intelligence
SKILL_TOOLTIP_LEVEL	Niveau
SKILL_TOXICDIE	Empoisonnement
SKILL_TOXICPOWER	Valeur d'attaque empoisonnée améliorée
SKILL_TUSOK	Attaque fantôme
SKILL_WONSIN	SKILL_WONSIN Plus utilisé.
SKILL_YONGSIN	SKILL_YONGSIN Plus utilisé.
SOLO_RK_CATEGORY_BATTLE_ROYALE	Battle Royale
SOLO_RK_CATEGORY_BATTLE_ROYALE_RECORD_0	Victoires
SOUL_ITEM_TOOLTIP_APPLY	Effet activé
SOUL_ITEM_TOOLTIP_BLUE1	Temps de jeu : %d/%d min 
SOUL_ITEM_TOOLTIP_BLUE2	Lorsque le temps de jeu est écoulé, les dégâts de compétence augmentent %.1fx
SOUL_ITEM_TOOLTIP_COMMON	Ne s'applique pas à : JcJ, polymorphie
SOUL_ITEM_TOOLTIP_RED1	Temps de jeu : %d/%d min 
SOUL_ITEM_TOOLTIP_RED2	Lorsque le temps de jeu est écoulé, les dégâts d'attaque augmentent %.1fx
SOUL_ITEM_TOOLTIP_REMAIN_COUNT	Attaques restantes : %d
SOUL_ITEM_TOOLTIP_REMOVE_TIME	L'âme s'éteint dans 
SOUL_ITEM_TOOLTIP_UNAPPLIED	Effet non activé
SOUL_REFINE_FAILURE	La progression a échoué.
SOUL_REFINE_SUCCESS	La progression est un succès !
STAT_MINUS_CON	Adaptation de la vitalité (chance restante : %d)
STAT_MINUS_DEX	Adaptation de la dextérité (chance restante : %d)
STAT_MINUS_INT	Adaptation de l'intelligence (chance restante : %d)
STAT_MINUS_STR	Adaptation de la force (chance restante : %d)
STAT_TOOLTIP_ACTION	Actions
STAT_TOOLTIP_ATT	Valeur d'attaque
STAT_TOOLTIP_ATT_SPEED	Vitesse d'attaque
STAT_TOOLTIP_BASE_LEVEL	Niveau
STAT_TOOLTIP_CAST_SPEED	Vitesse de sort
STAT_TOOLTIP_CON	Augmente PV et défense
STAT_TOOLTIP_CONQUEROR_LEVEL	Niveau de champion
STAT_TOOLTIP_DEF	Défense
STAT_TOOLTIP_DEX	Attaque et esquive augmentées
STAT_TOOLTIP_DODGE_PER	Chance d'éviter les flèches
STAT_TOOLTIP_EXP	EXP
STAT_TOOLTIP_HP	PV
STAT_TOOLTIP_IMG_CON	VIT : PV et défense augmentés
STAT_TOOLTIP_IMG_DEX	DEX : attaque et esquive augmentées
STAT_TOOLTIP_IMG_INT	INT : PM, attaque et défense magique augmentés
STAT_TOOLTIP_IMG_STR	STR : attaques et dégâts améliorés.
STAT_TOOLTIP_INT	Augmente PM, attaque & défense magique.
STAT_TOOLTIP_LEVEL	Niveau
STAT_TOOLTIP_MAG_ATT	Valeur de l'attaque magique
STAT_TOOLTIP_MAG_DEF	Défense magique
STAT_TOOLTIP_MOVE_SPEED	Vitesse de déplacement
STAT_TOOLTIP_PASSIVE	Bonus de relique
STAT_TOOLTIP_POINT	Points
STAT_TOOLTIP_REACTION	Réactions
STAT_TOOLTIP_SHP	Sur Yohara, vos PV maximums sont moins réduits.
STAT_TOOLTIP_SIMMUNE	Sur Yohara, votre résistance aux modifications de statut est moins réduite.
STAT_TOOLTIP_SMOVE	Sur Yohara, votre vitesse de déplacement est moins réduite.
STAT_TOOLTIP_SP	PM
STAT_TOOLTIP_SPECIAL_ACTION	Actions spéciales
STAT_TOOLTIP_SSTR	Sur Yohara, les dégâts qu'infligent vos attaques sont moins réduits.
STAT_TOOLTIP_STAT	Valeurs
STAT_TOOLTIP_STR	Attaque et dégâts améliorés.
STAT_TOOLTIP_SUNGMA_HP	Les PV varient en fonction de la volonté de SungMa (VIT) de l'adversaire et de la carte.
STAT_TOOLTIP_SUNGMA_IMMUNE	La probabilité des effets de statut varie en fonction de la volonté de SungMa (INT) de l'adversaire et de la carte.
STAT_TOOLTIP_SUNGMA_MOVE	La vitesse de déplacement varie en fonction de la volonté de SungMa (RES) de l'adversaire et de la carte.
STAT_TOOLTIP_SUNGMA_STR	L'attaque varie en fonction de la volonté de SungMa (STR) de l'adversaire et de la carte.
STAT_TOOLTIP_SUPPORT_SKILL	Compétences secondaires
STAT_TOOLTIP_TAB_CHARACTER	Personnage
STAT_TOOLTIP_TAB_EMOTICON	Émotions
STAT_TOOLTIP_TAB_QUEST	Quêtes
STAT_TOOLTIP_TAB_SKILL	Compétences
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_ACHIEV_0	Vous pouvez remporter ce trophée dans le portail d'invasion de SungMa, dans la zone Yongan.
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_ACHIEV_1	Vous pouvez remporter ce trophée dans le portail d'invasion de SungMa, dans la zone Joan.
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_ACHIEV_2	Vous pouvez remporter ce trophée dans le portail d'invasion de SungMa, dans la zone Pyungmoo.
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_ACHIEV_3	Vous pouvez remporter ce trophée dans le portail d'invasion de SungMa, dans la Vallée de Seungryong.
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_ACHIEV_4	Vous pouvez remporter ce trophée dans le portail d'invasion de SungMa, dans le Désert de Yongbi.
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_ACHIEV_5	Vous pouvez remporter ce trophée dans le portail d'invasion de SungMa, dans Doyyumhwan (Terre de feu).
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_ACHIEV_6	Vous pouvez remporter ce trophée dans le portail d'invasion de SungMa, au Mont Sohan.
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_ACHIEV_7	Vous pouvez remporter ce trophée dans le portail d'invasion de SungMa, dans les Catacombes du diable.
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_ACHIEV_8	Vous pouvez remporter ce trophée dans le portail d'invasion de SungMa, dans la Forêt enchantée.
SUNGMAHEE_GATE_ALREADY_OPEN	[Portail d'invasion de SungMa] Un portail de SungMa s'est ouvert. Dépêchez-vous de l'emprunter ! (Ouvert pendant encore %s)
SUNGMAHEE_GATE_ALREADY_OPEN_1M	[Portail d'invasion de SungMa] Un portail d'invasion de SungMa s'est ouvert. Dépêchez-vous de le détruire ! (Ouvert encore moins de 1 minute)
SUNGMAHEE_GATE_MAP_ELEMENT_DARK	Obscurité
SUNGMAHEE_GATE_MAP_ELEMENT_EARTH	Terre
SUNGMAHEE_GATE_MAP_ELEMENT_ELECT	Foudre
SUNGMAHEE_GATE_MAP_ELEMENT_FIRE	Feu
SUNGMAHEE_GATE_MAP_ELEMENT_ICE	Glace
SUNGMAHEE_GATE_MAP_ELEMENT_NONE	Aucun élément
SUNGMAHEE_GATE_MAP_ELEMENT_WIND	Vent
SUNGMAHEE_GATE_MESSAGE_CANNOT_OPEN_ACHIEV_CONQUEROR_LEVEL	Il vous faut atteindre le niveau de champion pour pouvoir l'ouvrir.
SUNGMAHEE_GATE_MESSAGE_CANNOT_OPEN_ACHIEV_IN_BATTLE_ROYALE	Vous ne pouvez pas l'ouvrir dans cette zone.
SUNGMAHEE_GATE_MESSAGE_DUNGEON_ELEMENT_INFO	Cette zone est influencée par l'élément « %s ».
SUNGMAHEE_GATE_MESSAGE_NOTICE_BEFORE_OPEN_1	Un portail d'invasion de SungMa s'ouvrira bientôt dans le Niveau Dongan.
SUNGMAHEE_GATE_MESSAGE_NOTICE_BEFORE_OPEN_2	Vous pouvez ouvrir la carte d'aperçu pour pouvoir visualiser tous les lieux disponibles de chaque empire.
SUNGMAHEE_GATE_MESSAGE_NOTICE_DUNGEON_END_TIME	Le temps est écoulé et vous allez être téléporté.
SUNGMAHEE_GATE_MESSAGE_NOTICE_DUNGEON_REMAIN_TIME	Il reste %d minutes avant la fermeture du portail d'invasion de SungMa.
SUNGMAHEE_GATE_MESSAGE_NOTICE_END	Tous les portails d'invasion de SungMa vont être fermés.
SUNGMAHEE_GATE_MESSAGE_NOTICE_ENTRY_CLOSE	Le portail d'invasion de SungMa est fermé.
SUNGMAHEE_GATE_MESSAGE_NOTICE_ENTRY_OPEN	Un portail d'invasion de SungMa s'est ouvert et vous pouvez l'emprunter. Il restera ouvert jusqu'à %dh%d.
SUNGMAHEE_GATE_MESSAGE_REGION_ACHIEVED_SUCCESS	Vous avez reçu les trophées de « %s » !
SUNGMAHEE_GATE_REMAIN_TIME_TO_OPEN	[Portail d'invasion de SungMa] Un portail d'invasion de SungMa s'ouvrira dans \n%s minutes.
